stop_id,stop_name,lat,lng,type
26,çETİN EMEç CADDESİ,37.0662,37.3781,Bus Stop
27,ŞEHÄ°TKAMÄ°L DEVLET HASTANESÄ°,37.0872,37.4111,Bus Stop
28,KAYAÖNÜ İTFAİYESİ,37.1082,37.4441,Bus Stop
29,ÖZ FATİH SÜRÜCÜ KURSU,37.1292,37.3271,Bus Stop
30,SANÄ° KONUKOÄŞLU BULVARI,37.0002,37.3601,Bus Stop
31,ADLÄ°YE SARAYI,37.0212,37.3931,Bus Stop
32,ULU MOBÄ°LYA TUGAY,37.0422,37.4261,Bus Stop
33,POLÄ°S OKULU LOJMANLARI,37.0632,37.3091,Bus Stop
34,GÜVENEVLER 26 NOLU CAD. 1,37.0842,37.3421,Bus Stop
35,GÜVENEVLER 26 NOLU CAD. 2,37.1052,37.3751,Bus Stop
36,GÜVENEVLER 26 NOLU CAD. 3,37.1262,37.4081,Bus Stop
37,ENKAYA Ä°NŞAAT,36.9972,37.4411,Bus Stop
38,RAYLI SÄ°STEMLER DEPO,37.0182,37.3241,Bus Stop
39,HUZUR APARTMANI,37.0392,37.3571,Bus Stop
40,ATATÜRK MAH. ALP APT,37.0602,37.3901,Bus Stop
41,VALÄ° KEMAL KALENDER CAD. 1,37.0812,37.4231,Bus Stop
42,SUN SÄ°TESÄ°,37.1022,37.3061,Bus Stop
43,VALÄ° KEMAL KALENDER CAD. 2,37.1232,37.3391,Bus Stop
44,MEMÄ°K ŞEKERCÄ° CAMÄ°Ä°,36.9942,37.3721,Bus Stop
45,NÄ°HAYET KONUTLARI,37.0152,37.4051,Bus Stop
46,MUHSÄ°N YAZICIOÄŞLU CADDESÄ°,37.0362,37.4381,Bus Stop
47,SENA SÄ°TESÄ°,37.0572,37.3211,Bus Stop
48,SAÄŞLAMCILAR CAMÄ°Ä°,37.0782,37.3541,Bus Stop
49,KÜRŞAD TÜZMEN BULVARI,37.0992,37.3871,Bus Stop
50,ABDULKADÄ°R AKSU BLV. KALELÄ° KONUTLARI,37.1202,37.4201,Bus Stop
51,ABDULKADÄ°R AKSU BLV. METRO AVM.,36.9912,37.3031,Bus Stop
52,MUSTAFA ERKENT çEŞMESİ,37.0122,37.3361,Bus Stop
53,MÄ°MOZA SÄ°TESÄ°,37.0332,37.3691,Bus Stop
54,OSMAN GAZÄ° MAH. 56062 NOLU CAD. 1,37.0542,37.4021,Bus Stop
55,PRÄ°MEMALL AVM. 2,37.0752,37.4351,Bus Stop
56,GÜLLÜOŞLU CAMİİ,37.0962,37.3181,Bus Stop
57,ÜNİVERSİTE BLV. TIP FAKÜLTESİ,37.1172,37.3511,Bus Stop
58,ADNAN MENDERES BLV.1,37.1382,37.3841,Bus Stop
59,ADNAN MENDERES BLV.2,37.0092,37.4171,Bus Stop
60,ADNAN MENDERES BLV.3,37.0302,37.4501,Bus Stop
61,DEFA LÄ°FE HASTANESÄ°,37.0512,37.3331,Bus Stop
62,KADOOÄ°L PETROL,37.0722,37.3661,Bus Stop
63,ADNAN MENDERES BLV.4,37.0932,37.3991,Bus Stop
64,404 NOLU CAD. 1,37.1142,37.4321,Bus Stop
65,404 NOLU CAD. 2,37.1352,37.3151,Bus Stop
66,404 NOLU CAD. 3,37.0062,37.3481,Bus Stop
67,400 NOLU CAD. 4,37.0272,37.3811,Bus Stop
68,400 NOLU CAD. 1,37.0482,37.4141,Bus Stop
69,400 NOLU CADDE 2,37.0692,37.4471,Bus Stop
70,400 NOLU CAD. 3,37.0902,37.3301,Bus Stop
71,10 NOLU CADDE,37.1112,37.3631,Bus Stop
72,404 NOLU CAD. 5,37.1322,37.3961,Bus Stop
73,404 NOLU CAD. 6,37.0032,37.4291,Bus Stop
74,404 NOLU CAD. 7,37.0242,37.3121,Bus Stop
75,SEMBOL MARKET,37.0452,37.3451,Bus Stop
76,ŞAHÄ°NTEPE MH. 133392 NOLU SK.,37.0662,37.3781,Bus Stop
77,ÖŞÜMSÖŞÜT SİTESİ,37.0872,37.4111,Bus Stop
78,ŞAHÄ°NTEPE MAH. 133390 NOLU CAD.,37.1082,37.4441,Bus Stop
79,DAYI AHMET AŞA İ.Ö.O,37.1292,37.3271,Bus Stop
80,KARATAŞ GASKÄ°,37.0002,37.3601,Bus Stop
81,TÜRK TELEKOM LİSESİ,37.0212,37.3931,Bus Stop
82,ŞAHÄ°NTEPE MAH. 133386 SK.,37.0422,37.4261,Bus Stop
83,ŞAHÄ°NTEPE MAH. 133390 SK.,37.0632,37.3091,Bus Stop
85,ŞAHÄ°NTEPE MAH. 133392 SK.,37.1052,37.3751,Bus Stop
86,ŞAHÄ°NTEPE MAH. 133397 SK.,37.1262,37.4081,Bus Stop
87,VÄ°ŞNE AVM.,36.9972,37.4411,Bus Stop
88,ADNAN MENDERES BLV.5,37.0182,37.3241,Bus Stop
89,ADNAN MENDERES BLV.6,37.0392,37.3571,Bus Stop
90,ADNAN MENDERES BLV.7,37.0602,37.3901,Bus Stop
91,ADNAN MENDERES BLV.8,37.0812,37.4231,Bus Stop
92,ADNAN MENDERES BLV.9,37.1022,37.3061,Bus Stop
93,ADNAN MENDERES BLV.GAZÜ,37.1232,37.3391,Bus Stop
97,PRÄ°MEMALL AVM.,37.0572,37.3211,Bus Stop
98,HUZUREVÄ° KAVŞAGI,37.0782,37.3541,Bus Stop
99,560062 NOLU CAD. çOCUK HST.,37.0992,37.3871,Bus Stop
100,ZAHÄ°DÄ°YE CAMÄ°Ä°,37.1202,37.4201,Bus Stop
108,MEMÄ°K ŞEKER CAMÄ°Ä°,37.1382,37.3841,Bus Stop
109,VALÄ° KEMAL KALENDER CADESÄ° 1,37.0092,37.4171,Bus Stop
111,VALÄ° KEMAL KALENDER CADDESÄ° 2,37.0512,37.3331,Bus Stop
112,POLAT SÄ°TESÄ°,37.0722,37.3661,Bus Stop
113,ŞÄ°RÄ°NEVLER,37.0932,37.3991,Bus Stop
115,GÜVENEVLER,37.1352,37.3151,Bus Stop
116,ÜçYILDIZ MARKET,37.0062,37.3481,Bus Stop
117,çAŞ MUTFAK,37.0272,37.3811,Bus Stop
122,FATÄ°H SULTAN MEHMET CAMÄ°Ä°,37.1322,37.3961,Bus Stop
123,82012 NOLU CAD.,37.0032,37.4291,Bus Stop
124,SELÄ°MÄ°YE MAH.YEŞÄ°L TOKÄ°LER,37.0242,37.3121,Bus Stop
125,ONAT KUTLAR SOSYAL TESÄ°SLERÄ° 25 NOLU CAD. 1,37.0452,37.3451,Bus Stop
126,ONAT KUTLAR MAH.25. NOLU CAD.,37.0662,37.3781,Bus Stop
127,ONAT KUTLAR SOSYAL TESÄ°SLERÄ° 25 NOLU CAD. 3,37.0872,37.4111,Bus Stop
128,MERÄ°NOS SÄ°TESÄ° 1,37.1082,37.4441,Bus Stop
129,MERVEŞEHÄ°R 22 NOLU CAD.,37.1292,37.3271,Bus Stop
130,M1 AVM çETİNKAYA,37.0002,37.3601,Bus Stop
137,ZÄ°RVE KONAKLARI,36.9972,37.4411,Bus Stop
139,GAZÄ°KENT 26 NOLU CAD. 3,37.0392,37.3571,Bus Stop
140,SEYRANTEPE,37.0602,37.3901,Bus Stop
141,SEYRANTEPE D-G 4/A BLOK,37.0812,37.4231,Bus Stop
142,SEYRANTEPE ALTINOVA KONAKLARI,37.1022,37.3061,Bus Stop
143,EDABALİ İ.Ö.OKULU,37.1232,37.3391,Bus Stop
144,NENE HATUN ANA OKULU,36.9942,37.3721,Bus Stop
146,SULTANA TIP MERKEZÄ°,37.0362,37.4381,Bus Stop
147,KIRSAL TERMÄ°NAL2.AD.,37.0572,37.3211,Bus Stop
148,AKPINAR GÄ°YÄ°M,37.0782,37.3541,Bus Stop
149,DERGAH TERZÄ°,37.0992,37.3871,Bus Stop
150,FATÄ°H CAMÄ°Ä°,37.1202,37.4201,Bus Stop
151,DEVA HASTANESÄ°,36.9912,37.3031,Bus Stop
152,AHMET TANER KIŞLALI PARKI,37.0122,37.3361,Bus Stop
153,ŞEHREKÜSTÜ İTFAİYESİ,37.0332,37.3691,Bus Stop
154,ŞEHÄ°TLER CADDESÄ°,37.0542,37.4021,Bus Stop
155,ŞEYH FETTULLAH PARKI,37.0752,37.4351,Bus Stop
156,TÄ°RÄ°KOTAJCILAR SÄ°TESÄ°,37.0962,37.3181,Bus Stop
157,ŞÄ°REHANI,37.1172,37.3511,Bus Stop
158,ŞIHCAN,37.1382,37.3841,Bus Stop
159,ESKÄ° ADLÄ°YE,37.0092,37.4171,Bus Stop
160,YEŞÄ°LSU,37.0302,37.4501,Bus Stop
161,BÜYÜKŞEHİR BELEDİYESİ,37.0512,37.3331,Bus Stop
162,ŞEL PETROL,37.0722,37.3661,Bus Stop
163,ESKÄ° OTOGAR,37.0932,37.3991,Bus Stop
164,ŞEHÄ°TKAMÄ°L BELEDÄ°YESÄ°,37.1142,37.4321,Bus Stop
165,GAZİANTEP MÜZESİ,37.1352,37.3151,Bus Stop
166,KARAGÖZ GARANTİ BANKASI,37.0062,37.3481,Bus Stop
167,TURİSTİK çARŞI,37.0272,37.3811,Bus Stop
168,ELMACI PAZARI,37.0482,37.4141,Bus Stop
169,SAVAŞ MÜZESİ,37.0692,37.4471,Bus Stop
173,ŞEHÄ°TKAMÄ°L GIDA BANKASI,37.0032,37.4291,Bus Stop
175,CESÄ°KA GÄ°YÄ°M,37.0452,37.3451,Bus Stop
176,AKDENÄ°Z GÄ°YÄ°M,37.0662,37.3781,Bus Stop
177,KIRSAL TERMÄ°NAL 1,37.0872,37.4111,Bus Stop
179,ŞÄ°RÄ°NEVLER 1,37.1292,37.3271,Bus Stop
180,ŞÄ°RÄ°NEVLER 2,37.0002,37.3601,Bus Stop
181,MAAŞKUYU CAD.,37.0212,37.3931,Bus Stop
182,SEYRANTEPE PARKI,37.0422,37.4261,Bus Stop
183,EDABALİ İ.Ö.O,37.0632,37.3091,Bus Stop
184,ALTINOVA İNŞAAT BÜFE,37.0842,37.3421,Bus Stop
185,D.G.Y A BLOK,37.1052,37.3751,Bus Stop
186,Ä°NCÄ°LÄ°KAYA,37.1262,37.4081,Bus Stop
187,Ä°MAM HATÄ°P LÄ°SESÄ°,36.9972,37.4411,Bus Stop
188,AKDENÄ°Z MARKET,37.0182,37.3241,Bus Stop
189,BÄ°ZÄ°M EMLAK,37.0392,37.3571,Bus Stop
190,DÄ°YAR MARKET,37.0602,37.3901,Bus Stop
191,B.ABDULLAH EDÄ°P ORTA OKULU,37.0812,37.4231,Bus Stop
192,KARACA AVM.,37.1022,37.3061,Bus Stop
193,NECİP FAZIL KISAKÜREK CAMİİ,37.1232,37.3391,Bus Stop
194,HUMANIZLI MAH.UZAYçATI,36.9942,37.3721,Bus Stop
195,HUMANIZLI MAH.RAMPA,37.0152,37.4051,Bus Stop
196,ET BALIK KURUMU,37.0362,37.4381,Bus Stop
197,PERÄ°LÄ°KAYA KAVŞAÄŞI,37.0572,37.3211,Bus Stop
198,PERÄ°LÄ°KAYA PARKI,37.0782,37.3541,Bus Stop
199,MERÄ°NOS SATIŞ MAÄŞAZASI,37.0992,37.3871,Bus Stop
200,25 ARALIK POLÄ°S MERKEZÄ°,37.1202,37.4201,Bus Stop
201,HASÄ°P DURRÄ° CAD. A 101,36.9912,37.3031,Bus Stop
202,HASÄ°B DURRÄ° CAD.,37.0122,37.3361,Bus Stop
203,HATİCE ÖZDEMİR APT.,37.0332,37.3691,Bus Stop
204,DEMOKRASÄ° BLV.,37.0542,37.4021,Bus Stop
205,ATATÜRK LİSESİ,37.0752,37.4351,Bus Stop
207,ÖZEN HELVA,37.1172,37.3511,Bus Stop
208,ÜNALDI POSTAHANESİ,37.1382,37.3841,Bus Stop
209,SARRAF CAD.,37.0092,37.4171,Bus Stop
210,ESKİ ÜNALDI DOLMUŞ DURAŞI,37.0302,37.4501,Bus Stop
211,ÜçOKLAR MAH.,37.0512,37.3331,Bus Stop
213,VEHBİ DAİ İ.Ö.OKULU,37.0932,37.3991,Bus Stop
216,CEYSOÄŞULLARI APT.,37.0062,37.3481,Bus Stop
218,Ä°NCÄ°LÄ°KAYA SAÄŞLIK OCAÄŞI,37.0482,37.4141,Bus Stop
219,Ä°NCÄ°LÄ°KAYA 37002 NOLU CAD.,37.0692,37.4471,Bus Stop
222,MALAZGÄ°RT MAH.1*1 TOKÄ°,37.1322,37.3961,Bus Stop
223,GAZÄ°LER MAH.SON DURAK,37.0032,37.4291,Bus Stop
224,GAZÄ°LER MAAH. RAMPA,37.0242,37.3121,Bus Stop
225,çAMLITEPE MAH.F.24/A,37.0452,37.3451,Bus Stop
226,çAMLITEPE MAH.SAGLIK OCAŞI,37.0662,37.3781,Bus Stop
227,MEHMET ENSARÄ° Ä°NŞAAT,37.0872,37.4111,Bus Stop
228,BEYKENT 1. ETAP C8 BLOK,37.1082,37.4441,Bus Stop
229,BEYKENT C-12 BLOK,37.1292,37.3271,Bus Stop
230,BEYKENT 4 NOLU CADDE,37.0002,37.3601,Bus Stop
231,D.400.Ä°PEKYOLU IŞIK AHŞAP,37.0212,37.3931,Bus Stop
232,BEYKENT YILDIZ CENTER PARK,37.0422,37.4261,Bus Stop
233,BEYLERBEYÄ° ANADOLU LÄ°SESÄ°,37.0632,37.3091,Bus Stop
234,MALABADÄ° SÄ°TESÄ°,37.0842,37.3421,Bus Stop
235,BEYKENT KAVŞAK,37.1052,37.3751,Bus Stop
236,BEYLERBEYÄ° TUGAY BASRA YOLU,37.1262,37.4081,Bus Stop
237,UZAY çATI PAZAR YERİ,36.9972,37.4411,Bus Stop
238,MERVEŞEHÄ°R,37.0182,37.3241,Bus Stop
239,MERÄ°NOS FABRÄ°KASI,37.0392,37.3571,Bus Stop
240,TEÄ°AŞ MEZARLIK,37.0602,37.3901,Bus Stop
241,ASKERÄ° ŞEHÄ°TLÄ°K KARŞISI,37.0812,37.4231,Bus Stop
243,2 NOLU KIRSAL TERMÄ°NAL,37.1232,37.3391,Bus Stop
244,çAŞLAYAN MAH.,36.9942,37.3721,Bus Stop
245,KARŞIYAKA MERKEZ CAMÄ°Ä°,37.0152,37.4051,Bus Stop
246,ŞEHİTKAMİL İLçE EMNİYET MÜDÜRLÜGÜ,37.0362,37.4381,Bus Stop
247,YEŞÄ°LOVA,37.0572,37.3211,Bus Stop
248,ŞOFÖRLER ODASI,37.0782,37.3541,Bus Stop
251,BOSNA HERSEK PARKI,36.9912,37.3031,Bus Stop
252,KORUTÜRK CAD.,37.0122,37.3361,Bus Stop
253,çAŞLAYAN MAH. 1,37.0332,37.3691,Bus Stop
254,çAŞLAYAN MAH. 2,37.0542,37.4021,Bus Stop
255,çAŞLAYAN MAH.3.,37.0752,37.4351,Bus Stop
256,ASKERÄ° ŞEHÄ°TLÄ°K,37.0962,37.3181,Bus Stop
260,BEYLERBEYÄ° KURAN KURSU,37.0302,37.4501,Bus Stop
262,BEYKENT ANADOLU LÄ°SESÄ°,37.0722,37.3661,Bus Stop
263,BEYKENT ESKÄ° SON DURAK,37.0932,37.3991,Bus Stop
264,BEYKENT MUHTARLIK,37.1142,37.4321,Bus Stop
265,BEYKENT C.11.BLOK,37.1352,37.3151,Bus Stop
267,BEYKENT 4. NOLU CAD.,37.0272,37.3811,Bus Stop
269,BEYKENT C-8 BLOK,37.0692,37.4471,Bus Stop
270,ENSARÄ° Ä°NŞAAT,37.0902,37.3301,Bus Stop
271,BEYKENT SAÄŞLIK OCAÄŞI,37.1112,37.3631,Bus Stop
272,GAZÄ°LER MAH.RAMPA,37.1322,37.3961,Bus Stop
273,çAMLITEPE MAH.SON DURAK,37.0032,37.4291,Bus Stop
274,TOPLUM RUH. SAÄŞLIK MRK.,37.0242,37.3121,Bus Stop
275,EYÜPSULTAN MAH.MUHTARLIK,37.0452,37.3451,Bus Stop
276,HACIBABA SU DEPOSU 1,37.0662,37.3781,Bus Stop
277,HACIBABA SU DEPOSU 2,37.0872,37.4111,Bus Stop
278,EYÜP SULTAN CAMİİ,37.1082,37.4441,Bus Stop
279,FIRAT PASTANESÄ°,37.1292,37.3271,Bus Stop
280,HZ. EBUBEKÄ°R CAMÄ°Ä°,37.0002,37.3601,Bus Stop
281,8.ŞUBAT 59079 NOLU CAD.,37.0212,37.3931,Bus Stop
282,ADA SÜRÜCÜ KURSU,37.0422,37.4261,Bus Stop
283,FEVZİ çAKMAK PTT,37.0632,37.3091,Bus Stop
284,PARK Ä°NŞAAT,37.0842,37.3421,Bus Stop
285,KARAYOLLARI,37.1052,37.3751,Bus Stop
286,3.NOLU CAD.KAVŞAK,37.1262,37.4081,Bus Stop
287,D.S.Ä°,36.9972,37.4411,Bus Stop
290,AK MARKET,37.0602,37.3901,Bus Stop
291,PÄ°R SULTAN PARKI,37.0812,37.4231,Bus Stop
292,SEKÄ°ZLER EMLAK,37.1022,37.3061,Bus Stop
293,HZ.EBUBEKÄ°R CAMÄ°Ä°,37.1232,37.3391,Bus Stop
294,50 NOLU CAD.,36.9942,37.3721,Bus Stop
296,HACI BABA SU DEPOSU 1,37.0362,37.4381,Bus Stop
297,HACI BABA SU DEPOSU 2,37.0572,37.3211,Bus Stop
298,HANİFİ YÜCELER CAD.,37.0782,37.3541,Bus Stop
299,TÄ°CARET BORSASI ORTA OKULU,37.0992,37.3871,Bus Stop
302,YAVUZELÄ° YOLU PETROL,37.0122,37.3361,Bus Stop
303,SANİ KONUKOŞLU İ.Ö.O,37.0332,37.3691,Bus Stop
304,EŞREF BÄ°TLÄ°S PARKI,37.0542,37.4021,Bus Stop
305,CÄ°NDERESÄ° KAVŞAK,37.0752,37.4351,Bus Stop
306,CÄ°NDERESÄ° 47 NOLU CAD.,37.0962,37.3181,Bus Stop
308,ŞEHİTKAMİL KÜLTÜR MERKEZİ,37.1382,37.3841,Bus Stop
309,ANATOLÄ°AN HOTEL,37.0092,37.4171,Bus Stop
310,çETİNKAYA AVM.,37.0302,37.4501,Bus Stop
311,KÄ°LÄ°S GARAJI,37.0512,37.3331,Bus Stop
312,AMARÄ°KAN HASTANESÄ°,37.0722,37.3661,Bus Stop
313,DR.ERSÄ°N ASLAN EÄŞÄ°TÄ°M VE ARAŞTIRMA HASTANESÄ°,37.0932,37.3991,Bus Stop
314,ESKÄ° EMÄ°RGAN,37.1142,37.4321,Bus Stop
315,ABDULLAH KEPKEP OKULU,37.1352,37.3151,Bus Stop
316,FORUM AVM.,37.0062,37.3481,Bus Stop
318,AMERÄ°KAN HASTANESÄ°,37.0482,37.4141,Bus Stop
321,ANATOLÄ°A HOTEL,37.1112,37.3631,Bus Stop
323,80.YIL İ.Ö.OKULU,37.0032,37.4291,Bus Stop
324,CÄ°NDERESÄ°. 47 NOLU CAD.,37.0242,37.3121,Bus Stop
325,CÄ°NDERESÄ° 1,37.0452,37.3451,Bus Stop
326,CÄ°NDERESÄ° 2,37.0662,37.3781,Bus Stop
327,CÄ°NDERESÄ° 3,37.0872,37.4111,Bus Stop
330,YASEMÄ°N BALSU PARKI,37.0002,37.3601,Bus Stop
331,MEHMET ANNAç PARKI,37.0212,37.3931,Bus Stop
332,PTT 2. KISIM EVLERÄ°,37.0422,37.4261,Bus Stop
333,BAŞAK SÄ°TESÄ°,37.0632,37.3091,Bus Stop
334,AFGAN EVLERÄ°,37.0842,37.3421,Bus Stop
335,ATAKENT SÄ°TESÄ°,37.1052,37.3751,Bus Stop
336,AMAç YAPI SİTESİ,37.1262,37.4081,Bus Stop
337,GATEM KAVŞAÄŞI,36.9972,37.4411,Bus Stop
338,SANÄ° KONUKOÄŞLU BLV. ISUZU SERVÄ°SÄ°,37.0182,37.3241,Bus Stop
339,SANÄ° KONUKOÄŞLU BLV.,37.0392,37.3571,Bus Stop
340,ZEUGMA MÜZESİ,37.0602,37.3901,Bus Stop
341,LALEZAR CAMÄ°Ä°,37.0812,37.4231,Bus Stop
342,ASRÄ° MEZARLIK,37.1022,37.3061,Bus Stop
343,ERDEMOŞLU ÜST GEçİT,37.1232,37.3391,Bus Stop
344,Ä°PEK YOLU,36.9942,37.3721,Bus Stop
346,KÜSGET SANAYİİ SİTESİ,37.0362,37.4381,Bus Stop
348,LÄ°VZA MOBÄ°LYA,37.0782,37.3541,Bus Stop
354,ŞAFAK KENT SÄ°TESÄ°,37.0542,37.4021,Bus Stop
355,AKKOZA FABRÄ°KASI,37.0752,37.4351,Bus Stop
356,OTOBÜS İŞLETME,37.0962,37.3181,Bus Stop
358,HAKAN ÖZCAN GENçLİK MERKEZİ,37.1382,37.3841,Bus Stop
359,ZAFER CADESÄ°,37.0092,37.4171,Bus Stop
360,AKKENT KAYAC EMLAK,37.0302,37.4501,Bus Stop
361,TEKKE CAMÄ°Ä°,37.0512,37.3331,Bus Stop
362,AKKENT A 101 AVM.,37.0722,37.3661,Bus Stop
363,ALÄ° TÄ°RYAKÄ° MESLEK LÄ°SESÄ°,37.0932,37.3991,Bus Stop
364,ŞEHÄ°TKAMÄ°L MAKÄ°NA SANAYÄ°,37.1142,37.4321,Bus Stop
365,NÄ°ZÄ°P CAD.,37.1352,37.3151,Bus Stop
366,UMUT MAH. ÖZTÜRK İNŞAAT,37.0062,37.3481,Bus Stop
369,CÄ°N DERESÄ°,37.0692,37.4471,Bus Stop
370,CİNDERESİ SÜRÜCÜ KURSU,37.0902,37.3301,Bus Stop
371,ESKİ DÜLÜK CAD. 1,37.1112,37.3631,Bus Stop
372,ESKİ DÜLÜK CAD. 2,37.1322,37.3961,Bus Stop
373,ESKİ DÜLÜK CAD. 3,37.0032,37.4291,Bus Stop
374,FEDAÄ° MUSTAFA SOK.,37.0242,37.3121,Bus Stop
375,DUMLUPINAR SOK.,37.0452,37.3451,Bus Stop
376,MEHMET ŞAHAN CAMÄ°Ä°,37.0662,37.3781,Bus Stop
377,ŞOFÖR ALİ CAD. 1,37.0872,37.4111,Bus Stop
378,ŞOFÖR ALİ CAD. 2,37.1082,37.4441,Bus Stop
379,TEKEL CAD. 1,37.1292,37.3271,Bus Stop
380,TEKEL CAD. 2,37.0002,37.3601,Bus Stop
381,TEKEL CAD. 3.,37.0212,37.3931,Bus Stop
385,ESKİ DÜLÜK CAD. 4,37.1052,37.3751,Bus Stop
386,EMİNE ULUSOY İ.Ö.OKULU,37.1262,37.4081,Bus Stop
387,çAŞLAYAN MAHALLESİ 2,36.9972,37.4411,Bus Stop
388,SHELL PETROL,37.0182,37.3241,Bus Stop
390,GAZÄ° MUHTAR PAŞA BLV.,37.0602,37.3901,Bus Stop
391,MUAAMMER AKSOY BLV.,37.0812,37.4231,Bus Stop
392,M.AKSOY BLV. FÄ°NANS BANK,37.1022,37.3061,Bus Stop
393,DOKTORLAR SÄ°TESÄ°,37.1232,37.3391,Bus Stop
395,EKÄ°N APT.,37.0152,37.4051,Bus Stop
396,çÖZÜM KULAK BURUN BOŞAZ MERKEZİ,37.0362,37.4381,Bus Stop
397,GAZÄ° MUHTAR PAŞA BULVARI,37.0572,37.3211,Bus Stop
399,KARAKABÄ°R,37.0992,37.3871,Bus Stop
401,ŞEHÄ°TLER PARKI,36.9912,37.3031,Bus Stop
402,ŞEHREKÜSTÜ,37.0122,37.3361,Bus Stop
403,DEMOKRASÄ° BLV. OPET PETROL,37.0332,37.3691,Bus Stop
404,BAYINDIR DÜŞÜN SALONU,37.0542,37.4021,Bus Stop
406,HAVALÄ°MANI YOLU 1,37.0962,37.3181,Bus Stop
407,HAVALÄ°MANI YOLU 2,37.1172,37.3511,Bus Stop
408,HOŞGÖR KURAN KURSU,37.1382,37.3841,Bus Stop
409,HASAN KALYONCU ÜNV.KAVŞAK,37.0092,37.4171,Bus Stop
411,HAVALÄ°MANI YOLU 3,37.0512,37.3331,Bus Stop
412,HAVALÄ°MANI YOLU 4,37.0722,37.3661,Bus Stop
413,KÖRKÜN SANAYİ YOLU,37.0932,37.3991,Bus Stop
414,KÖRKÜN SANAYİ.1,37.1142,37.4321,Bus Stop
415,KÖRKÜN SANAYİ.2,37.1352,37.3151,Bus Stop
416,KÖRKÜN SANAYİ.3,37.0062,37.3481,Bus Stop
417,KÖRKÜN SANAYİ.4,37.0272,37.3811,Bus Stop
418,KÖRKÜN MAH.5,37.0482,37.4141,Bus Stop
419,KÖRKÜN MAH.9,37.0692,37.4471,Bus Stop
420,KÖRKÜN MAH.11,37.0902,37.3301,Bus Stop
421,ENSAR SÄ°TESÄ°,37.1112,37.3631,Bus Stop
423,BÄ°NEVLER SON DURAK,37.0032,37.4291,Bus Stop
424,500.EVLER CAMÄ°Ä°,37.0242,37.3121,Bus Stop
426,BURç KAVŞAŞI,37.0662,37.3781,Bus Stop
428,HAYVANAT BAHçESİ,37.1082,37.4441,Bus Stop
429,BURç PARK,37.1292,37.3271,Bus Stop
430,BURç PARK İçİ,37.0002,37.3601,Bus Stop
431,BURç ORMAN İçİ,37.0212,37.3931,Bus Stop
432,TAMMET HASTANESÄ°,37.0422,37.4261,Bus Stop
433,ÖGÜMSÖGÜT MAH.1,37.0632,37.3091,Bus Stop
434,BÜYÜKPINAR KÖYÜ 1,37.0842,37.3421,Bus Stop
435,D 400 DEDEMAN KAVŞAÄŞI,37.1052,37.3751,Bus Stop
436,SEFAŞEHÄ°R KONUTLARI,37.1262,37.4081,Bus Stop
437,BEŞLER MAKARNA,36.9972,37.4411,Bus Stop
438,BAŞPINAR CAMÄ°Ä°,37.0182,37.3241,Bus Stop
439,D 400 OPET PETROL,37.0392,37.3571,Bus Stop
441,60.YIL TOTAL PETROL,37.0812,37.4231,Bus Stop
442,YUKARIBAYIR CAMÄ°Ä°,37.1022,37.3061,Bus Stop
443,KASAP CÜCE CAD.1,37.1232,37.3391,Bus Stop
444,KASAP CÜCE CAD.2,36.9942,37.3721,Bus Stop
445,Ş.KARAYILAN İ.Ö.O,37.0152,37.4051,Bus Stop
446,KASAP CÜCE TOTAL PETROL,37.0362,37.4381,Bus Stop
